task,horizon,model,runs,mse_original_mean,mse_original_std,mae_original_mean,mae_original_std,mse_scaled_mean,mse_scaled_std,mae_scaled_mean,mae_scaled_std
long,365,conv_transformer,5,165483.00701629923,12328.181339986306,310.95209744580586,13.412453020661731,0.39854854345321655,0.029691123691988727,0.48256675601005555,0.020814801428132176
long,365,lstm,5,190709.39564550127,16130.917705748328,337.0881884033815,17.029372179470446,0.45930365920066835,0.038849633114656466,0.5231273472309113,0.026427867854566054
long,365,transformer,5,178740.9228329022,17516.37217093337,325.47893570479516,18.317654313221738,0.430478835105896,0.0421863476121299,0.5051109671592713,0.028427182980750698
short,90,conv_transformer,5,212555.30159228845,30997.754782595675,362.90257849127266,30.65502716223687,0.5119172513484955,0.07465486012675664,0.5631887197494507,0.0475735770000399
short,90,lstm,5,287850.412810297,5995.963032748486,429.59831014519943,5.29437000935679,0.6932576775550843,0.014440677287678345,0.6666938900947571,0.0082163266220496
short,90,transformer,5,292620.3931320085,25074.697657413508,439.38686168392223,22.788967388419803,0.7047456622123718,0.060389792960161476,0.6818847537040711,0.03536619701040559
